address,name
0x52D27C,?getState@Event@FMOD@@QAG?AW4FMOD_RESULT@@PAI@Z
0x52D280,?getParentGroup@Event@FMOD@@QAG?AW4FMOD_RESULT@@PAPAVEventGroup@2@@Z
0x52D284,?getParameterByIndex@Event@FMOD@@QAG?AW4FMOD_RESULT@@HPAPAVEventParameter@2@@Z
0x52D288,?getProperty@Event@FMOD@@QAG?AW4FMOD_RESULT@@PBDPAX_N@Z
0x52D28C,?getCategory@Event@FMOD@@QAG?AW4FMOD_RESULT@@PAPAVEventCategory@2@@Z
0x52D290,?setPitch@Event@FMOD@@QAG?AW4FMOD_RESULT@@MW4FMOD_EVENT_PITCHUNITS@@@Z
0x52D294,?setPaused@Event@FMOD@@QAG?AW4FMOD_RESULT@@_N@Z
0x52D298,?set3DAttributes@Event@FMOD@@QAG?AW4FMOD_RESULT@@PBUFMOD_VECTOR@@00@Z
0x52D29C,?init@EventSystem@FMOD@@QAG?AW4FMOD_RESULT@@HIPAXI@Z
0x52D2A0,?release@EventSystem@FMOD@@QAG?AW4FMOD_RESULT@@XZ
0x52D2A4,?update@EventSystem@FMOD@@QAG?AW4FMOD_RESULT@@XZ
0x52D2A8,?getVersion@EventSystem@FMOD@@QAG?AW4FMOD_RESULT@@PAI@Z
0x52D2AC,?setLanguage@EventSystem@FMOD@@QAG?AW4FMOD_RESULT@@PBD@Z
0x52D2B0,dword_52D2B0
0x52D2B4,SteamAPI_RegisterCallback
0x52D2B8,SteamUser
0x52D2BC,SteamAPI_UnregisterCallback
0x52D2C0,SteamUtils
0x52D2C4,SteamUserStats
0x52D2C8,SteamAPI_RestartAppIfNecessary
0x52D2CC,SteamAPI_RunCallbacks
0x52D2D0,SteamApps
0x52D2D4,SteamAPI_Init
0x52D2D8,SteamAPI_Shutdown
0x52D2DC,dword_52D2DC
0x52D2E0,dword_52D2E0
0x52D2E4,dword_52D2E4
0x52D2E8,dword_52D2E8
0x52D2EC,dword_52D2EC
0x52D2F0,dword_52D2F0
0x52D2F4,dword_52D2F4
0x52D2F8,dword_52D2F8
0x52D2FC,dword_52D2FC
0x52D300,dword_52D300
0x52D304,dword_52D304
0x52D308,dword_52D308
0x52D30C,dword_52D30C
0x52D310,dword_52D310
0x52D314,dword_52D314
0x52D318,dword_52D318
0x52D31C,dword_52D31C
0x52D320,dword_52D320
0x52D324,dword_52D324
0x52D328,dword_52D328
0x52D32C,dword_52D32C
0x52D330,dword_52D330
0x52D334,dword_52D334
0x52D338,First
0x52D33C,dword_52D33C
0x52D340,dword_52D340
0x52D344,dword_52D344
0x52D348,Last
0x52D34C,dword_52D34C
0x52D350,dword_52D350
0x52D354,dword_52D354
0x52D358,word_52D358
0x52D35A,word_52D35A
0x52D35C,dword_52D35C
0x52D360,dword_52D360
0x52D364,dword_52D364
0x52D368,dword_52D368
0x52D36C,dword_52D36C
0x52D370,off_52D370
0x52D374,ExceptionInfo
0x52D37C,dword_52D37C
0x52D580,dword_52D580
0x52D584,dword_52D584
0x52D788,dword_52D788
0x52D78C,dword_52D78C
0x52D990,dword_52D990
0x52D994,riidltf
0x52DA34,dword_52DA34
0x52DA38,dword_52DA38
0x52DA3C,dword_52DA3C
0x52DA40,dword_52DA40
0x52DA44,aDeutsch
0x52DA4C,aEnglish
0x52DA54,dword_52DA54
0x52DA58,dword_52DA58
0x52DA6C,word_52DA6C
0x52DA6E,word_52DA6E
0x52DAA8,dword_52DAA8
0x52DEA8,dword_52DEA8
0x52DF30,dword_52DF30
0x52DF84,dword_52DF84
0x52DF94,word_52DF94
0x52DF96,word_52DF96
0x52DFD0,flt_52DFD0
0x52DFD4,flt_52DFD4
0x52DFD8,flt_52DFD8
0x52E084,flt_52E084
0x52E088,flt_52E088
0x52E08C,flt_52E08C
0x52E090,flt_52E090
0x52E140,flt_52E140
0x52E144,flt_52E144
0x52E148,flt_52E148
0x52E260,word_52E260
0x52E262,word_52E262
0x52E2C0,word_52E2C0
0x52E2C2,word_52E2C2
0x52E320,dword_52E320
0x52E38C,flt_52E38C
0x52E390,dword_52E390
0x52E3EC,byte_52E3EC
0x52E3ED,unk_52E3ED
0x52E3F0,byte_52E3F0
0x52E3F1,unk_52E3F1
0x52E3F4,byte_52E3F4
0x52E3F5,unk_52E3F5
0x52E444,word_52E444
0x52E446,word_52E446
0x52E46C,dword_52E46C
0x52E470,dword_52E470
0x52E474,dword_52E474
0x52E49C,dword_52E49C
0x52E4A0,dword_52E4A0
0x52E4A4,dword_52E4A4
0x52E4CC,flt_52E4CC
0x52E4DC,flt_52E4DC
0x52E4EC,dword_52E4EC
0x52E528,dword_52E528
0x52E52C,dword_52E52C
0x52E600,dword_52E600
0x52E640,dword_52E640
0x52E948,dword_52E948
0x52EC90,dword_52EC90
0x52ECA0,word_52ECA0
0x52ECA2,word_52ECA2
0x52ECC8,dword_52ECC8
0x52ECCC,dword_52ECCC
0x52ECD0,dword_52ECD0
0x52ED40,dword_52ED40
0x52ED44,dword_52ED44
0x52ED48,dword_52ED48
0x52EDB8,dword_52EDB8
0x52EDBC,dword_52EDBC
0x52EDC0,dword_52EDC0
0x52EE30,dword_52EE30
0x52EE34,dword_52EE34
0x52EE38,dword_52EE38
0x52EEA8,flt_52EEA8
0x52EED0,flt_52EED0
0x52EEF8,flt_52EEF8
0x52EF20,flt_52EF20
0x52EF48,flt_52EF48
0x52EF70,flt_52EF70
0x52EF98,dword_52EF98
0x52F0EC,dword_52F0EC
0x52F27C,dword_52F27C
0x52F288,word_52F288
0x52F2E0,word_52F2E0
0x52F338,dword_52F338
0x52F3F0,dword_52F3F0
0x52F3F4,dword_52F3F4
0x52F400,word_52F400
0x52F402,word_52F402
0x52F410,word_52F410
0x52F412,word_52F412
0x52F414,word_52F414
0x52F416,word_52F416
0x52F430,word_52F430
0x52F432,word_52F432
0x52F440,dword_52F440
0x52F444,dword_52F444
0x52F4F0,dword_52F4F0
0x52F6B8,dword_52F6B8
0x52F6D8,word_52F6D8
0x52F6DA,word_52F6DA
0x52F6E8,dword_52F6E8
0x52FA18,dword_52FA18
0x52FFF8,dword_52FFF8
0x52FFFC,dword_52FFFC
0x530000,dword_530000
0x530148,dword_530148
0x53014C,dword_53014C
0x530150,dword_530150
0x530178,dword_530178
0x53026C,dword_53026C
0x53028C,dword_53028C
0x5302A0,dword_5302A0
0x5302A4,dword_5302A4
0x530348,byte_530348
0x530428,dword_530428
0x5304E8,byte_5304E8
0x5304E9,unk_5304E9
0x5304EC,byte_5304EC
0x5304ED,unk_5304ED
0x5304F0,byte_5304F0
0x5304F1,unk_5304F1
0x530518,word_530518
0x53051A,word_53051A
0x530798,dword_530798
0x530AA0,word_530AA0
0x530AF8,word_530AF8
0x530B50,word_530B50
0x530FC8,dword_530FC8
0x530FCC,dword_530FCC
0x531078,dword_531078
0x531088,dword_531088
0x531110,dword_531110
0x531114,dword_531114
0x5311E8,dword_5311E8
0x5311EC,dword_5311EC
0x531338,dword_531338
0x53133C,dword_53133C
0x5314F0,dword_5314F0
0x531640,dword_531640
0x531644,dword_531644
0x532750,dword_532750
0x532764,dword_532764
0x532778,dword_532778
0x532794,dword_532794
0x532824,dword_532824
0x532850,dword_532850
0x532898,dword_532898
0x5328A0,dword_5328A0
0x5328E8,dword_5328E8
0x5328F0,dword_5328F0
0x532938,dword_532938
0x532940,dword_532940
0x5329F0,dword_5329F0
0x532A00,dword_532A00
0x532A10,dword_532A10
0x532D14,dword_532D14
0x532EC8,Format
0x532ED4,dword_532ED4
0x532ED8,??_7?$CCallback@VAchievements@@UUserStatsReceived_t@@$0A@@@6B@
0x532EDC,dword_532EDC
0x532EE0,off_532EE0
0x532EE4,dword_532EE4
0x532EE8,??_7?$CCallback@VAchievements@@UUserStatsStored_t@@$0A@@@6B@
0x532EEC,dword_532EEC
0x532EF0,dword_532EF0
0x532EF4,dword_532EF4
0x532EF8,??_7?$CCallback@VAchievements@@UUserAchievementStored_t@@$0A@@@6B@
0x532EFC,dword_532EFC
0x532F00,dword_532F00
0x532F04,aAegeometrySetl
0x532F3F,byte_532F3F
0x532F40,asc_532F40
0x532F43,byte_532F43
0x532F44,asc_532F44
0x532F48,dword_532F48
0x532F4C,??_7AbstractGun@@6B@
0x532F50,dword_532F50
0x532F54,dword_532F54
0x532F58,dword_532F58
0x532F5C,dword_532F5C
0x532F60,dword_532F60
0x532F64,dword_532F64
0x532F68,dword_532F68
0x532F6C,dword_532F6C
0x532F70,dword_532F70
0x532F74,dword_532F74
0x532F78,dword_532F78
0x532F7C,??_7BeamGun@@6B@
0x532F80,dword_532F80
0x532F84,dword_532F84
0x532F88,dword_532F88
0x532F8C,dword_532F8C
0x532F90,dword_532F90
0x532F94,dword_532F94
0x532F98,dword_532F98
0x532F9C,dword_532F9C
0x532FA0,dword_532FA0
0x532FA4,dword_532FA4
0x532FA8,aBlueprintFinis
0x532FBD,unk_532FBD
0x532FC0,dword_532FC0
0x532FC4,??_7BombGun@@6B@
0x532FC8,dword_532FC8
0x532FCC,dword_532FCC
0x532FD0,dword_532FD0
0x532FD4,dword_532FD4
0x532FD8,dword_532FD8
0x532FDC,dword_532FDC
0x532FE0,dword_532FE0
0x532FE4,dword_532FE4
0x532FE8,dword_532FE8
0x532FEC,dword_532FEC
0x532FF0,dword_532FF0
0x532FF4,??_7BoundingAAB@@6B@
